Step,"field=3,degree=1",,,"field=3,degree=2",,,"field=3,degree=3",,,"field=3,degree=4",,,"field=3,degree=5",,,"field=3,degree=6",,
157,1.819399118,,,1.625953436,,,1.804458857,,,1.831047416,,,1.470778465,,,2.007935762,,
158,1.571266174,,,1.315991163,,,1.321545243,,,1.422684431,,,1.374444485,,,1.641694307,,
159,1.213079214,,,1.375869751,,,1.411285996,,,1.180594563,,,1.255406022,,,1.313253164,,
160,1.104578495,,,1.025754929,,,1.019166946,,,0.831073225,,,0.760867894,,,0.755325973,,
161,1.145674706,,,0.972514391,,,1.297400594,,,0.909260154,,,0.837271392,,,0.951845765,,
162,1.066130638,,,1.119096041,,,1.074110031,,,1.020060301,,,1.012148023,,,1.157866597,,
163,1.099617004,,,0.982949376,,,1.16610682,,,1.021966219,,,1.00282979,,,1.086226583,,
164,0.946621656,,,0.876437187,,,0.866230011,,,0.79643178,,,0.837462783,,,0.785096645,,
165,0.980586529,,,0.736167669,,,0.549302578,,,0.564009845,,,0.456021994,,,0.386861473,,
166,0.958018184,,,0.68970263,,,0.599471331,,,0.605017126,,,0.668637395,,,0.610092402,,
167,0.973195076,,,0.668749154,,,0.623935103,,,0.566411138,,,0.606936753,,,0.659957647,,
168,1.017083764,,,0.677434206,,,0.591983438,,,0.565324247,,,0.53908062,,,0.482530415,,
169,0.937582314,,,0.541366339,,,0.569385529,,,0.406691611,,,0.450271934,,,0.332201988,,
170,0.834681988,,,0.499474525,,,0.446032614,,,0.250336051,,,0.254489899,,,0,,
171,0.924324274,,,0.594134331,,,0.659283996,,,0.497627169,,,0.525997221,,,0.351581872,,
172,1.200565696,,,0.823408008,,,0.976740003,,,0.824267805,,,0.843559146,,,0.786174297,,
173,1.352228999,,,1.15498817,,,1.181318641,,,1.172000408,,,1.154390812,,,1.08966279,,
174,1.284404039,,,1.205902696,,,1.011279821,,,1.191563487,,,1.088643312,,,1.008882761,,
175,1.441786051,,,1.179954529,,,0.931593299,,,0.952801585,,,0.938783884,,,0.909625351,,
176,1.781970024,,,1.35599947,,,1.191145182,,,1.329773545,,,1.259639144,,,1.171436548,,
177,2.026096582,,,1.873908758,,,1.56915617,,,1.558835268,,,1.817199826,,,1.520308018,,
